;massa_A;
t;x;y
0.000;-0.460;0.199
0.033;-0.460;0.199
0.067;-0.460;0.199
0.100;-0.460;0.199
0.133;-0.460;0.199
0.167;-0.460;0.199
0.200;-0.460;0.199
0.233;-0.460;0.199
0.267;-0.460;0.199
0.300;-0.460;0.199
0.333;-0.459;0.199
0.367;-0.456;0.199
0.400;-0.449;0.197
0.433;-0.438;0.191
0.467;-0.426;0.186
0.500;-0.410;0.178
0.533;-0.393;0.171
0.566;-0.370;0.161
0.600;-0.342;0.151
0.633;-0.307;0.139
0.666;-0.273;0.129
0.700;-0.234;0.120
0.733;-0.188;0.105
0.766;-0.147;9.653E-2
0.800;-9.745E-2;8.764E-2
0.833;-5.100E-2;8.056E-2
0.866;-6.440E-3;7.711E-2
0.900;3.894E-2;7.506E-2
0.933;8.377E-2;7.488E-2
0.966;0.131;7.711E-2
1.000;0.175;8.214E-2
1.033;0.218;8.762E-2
1.066;0.263;9.423E-2
1.100;0.305;0.102
1.133;0.343;0.108
1.166;0.380;0.115
1.200;0.414;0.125
1.233;0.442;0.135
1.266;0.463;0.143
1.300;0.483;0.150
1.333;0.498;0.155
1.366;0.509;0.160
1.400;0.517;0.163
1.433;0.520;0.163
1.466;0.522;0.163
1.500;0.517;0.161
1.533;0.508;0.159
1.566;0.498;0.156
1.599;0.483;0.151
1.633;0.464;0.143
1.666;0.443;0.135
1.699;0.414;0.125
1.733;0.380;0.116
1.766;0.347;0.108
1.800;0.305;9.807E-2
1.833;0.264;9.119E-2
1.866;0.221;8.568E-2
1.900;0.175;8.058E-2
1.933;0.130;7.748E-2
1.966;8.367E-2;7.360E-2
2.000;3.850E-2;7.285E-2
2.033;-7.381E-3;7.483E-2
2.066;-5.326E-2;7.953E-2
2.100;-9.813E-2;8.534E-2
2.133;-0.141;9.292E-2
2.166;-0.185;0.102
2.200;-0.224;0.111
2.233;-0.265;0.120
2.266;-0.302;0.130
2.300;-0.332;0.138
2.333;-0.361;0.148
2.366;-0.383;0.158
2.400;-0.403;0.168
2.433;-0.420;0.176
2.466;-0.433;0.181
2.500;-0.444;0.186
2.533;-0.451;0.188
2.566;-0.452;0.189
2.599;-0.454;0.188
2.633;-0.449;0.185
2.666;-0.437;0.181
2.699;-0.425;0.178
2.733;-0.406;0.170
2.766;-0.384;0.160
2.799;-0.360;0.150
2.833;-0.330;0.138
2.866;-0.298;0.128
2.899;-0.262;0.118
2.933;-0.224;0.110
2.966;-0.184;0.102
2.999;-0.141;9.319E-2
3.033;-9.864E-2;8.698E-2
3.066;-5.390E-2;8.211E-2
3.099;-8.198E-3;7.711E-2
3.133;3.851E-2;7.356E-2
3.166;8.602E-2;7.320E-2
3.199;0.132;7.611E-2
3.233;0.179;8.120E-2
3.266;0.224;8.589E-2
3.299;0.266;9.095E-2
3.333;0.307;9.872E-2
3.366;0.343;0.106
3.399;0.378;0.113
3.433;0.410;0.120
3.466;0.436;0.128
3.499;0.460;0.138
3.533;0.478;0.146
3.566;0.496;0.153
3.633;0.516;0.159
3.666;0.524;0.160
3.699;0.524;0.160
3.733;0.523;0.160
3.766;0.515;0.158
3.799;0.501;0.153
3.832;0.485;0.147
3.866;0.463;0.141
3.899;0.439;0.132
3.932;0.411;0.123
3.966;0.379;0.113
3.999;0.346;0.105
4.032;0.306;9.787E-2
4.066;0.267;9.101E-2
4.099;0.227;8.528E-2
4.132;0.182;7.994E-2
4.166;0.135;7.605E-2
4.199;8.892E-2;7.325E-2
4.232;4.235E-2;7.238E-2
4.266;-5.055E-3;7.416E-2
4.299;-5.016E-2;7.831E-2
4.332;-9.771E-2;8.489E-2
4.366;-0.140;9.327E-2
4.399;-0.183;0.102
4.432;-0.221;0.111
4.466;-0.257;0.118
4.499;-0.294;0.128
4.532;-0.328;0.138
4.566;-0.354;0.146
4.599;-0.378;0.156
4.632;-0.398;0.165
4.666;-0.415;0.173
4.699;-0.428;0.179
4.732;-0.440;0.184
4.765;-0.447;0.186
4.799;-0.449;0.186
4.832;-0.449;0.185
4.865;-0.443;0.183
4.899;-0.431;0.178
4.932;-0.416;0.173
4.965;-0.396;0.166
4.999;-0.376;0.158
5.032;-0.353;0.148
5.065;-0.327;0.137
5.099;-0.297;0.128
5.132;-0.261;0.118
5.165;-0.223;0.110
5.199;-0.181;0.101
5.232;-0.140;9.276E-2
5.265;-9.526E-2;8.601E-2
5.299;-4.988E-2;8.081E-2
5.332;-2.719E-3;7.571E-2
5.365;4.335E-2;7.193E-2
5.399;9.037E-2;7.205E-2
5.432;0.136;7.592E-2
5.465;0.181;8.065E-2
5.499;0.225;8.521E-2
5.532;0.265;9.043E-2
5.565;0.303;9.799E-2
5.599;0.340;0.106
5.632;0.375;0.112
5.665;0.409;0.120
5.699;0.435;0.128
5.732;0.458;0.138
5.765;0.476;0.146
5.798;0.494;0.153
5.832;0.505;0.156
5.865;0.514;0.158
5.898;0.517;0.158
5.932;0.517;0.158
5.965;0.515;0.158
5.998;0.509;0.155
6.032;0.495;0.150
6.065;0.477;0.145
6.098;0.458;0.140
6.132;0.437;0.132
6.165;0.410;0.123
6.198;0.378;0.113
6.232;0.345;0.105
6.265;0.306;9.793E-2
6.298;0.266;9.118E-2
6.332;0.227;8.485E-2
6.365;0.181;7.977E-2
6.398;0.133;7.595E-2
6.432;8.714E-2;7.364E-2
6.465;4.215E-2;7.239E-2
6.498;-4.609E-3;7.327E-2
6.532;-4.996E-2;7.778E-2
6.565;-9.523E-2;8.473E-2
6.599;-0.137;9.306E-2
6.632;-0.178;0.101
6.665;-0.216;0.109
6.699;-0.256;0.117
6.732;-0.292;0.127
6.765;-0.323;0.136
6.799;-0.354;0.145
6.832;-0.378;0.155
6.865;-0.397;0.165
6.899;-0.414;0.173
6.932;-0.426;0.178
6.965;-0.438;0.183
6.998;-0.445;0.185
7.032;-0.447;0.186
7.065;-0.447;0.186
7.098;-0.442;0.183
7.132;-0.431;0.178
7.165;-0.417;0.173
7.198;-0.401;0.167
7.232;-0.377;0.158
7.265;-0.354;0.149
7.298;-0.329;0.138
7.332;-0.299;0.128
7.365;-0.263;0.117
7.398;-0.223;0.110
7.432;-0.184;0.102
7.465;-0.141;9.311E-2
7.498;-9.884E-2;8.671E-2
7.532;-5.408E-2;8.213E-2
7.565;-7.917E-3;7.734E-2
7.598;3.884E-2;7.374E-2
7.632;8.421E-2;7.283E-2
7.665;0.129;7.607E-2
7.698;0.175;8.108E-2
7.732;0.218;8.530E-2
7.765;0.259;9.075E-2
7.798;0.298;9.756E-2
7.832;0.334;0.105
7.865;0.371;0.112
7.898;0.400;0.119
7.931;0.430;0.128
7.965;0.451;0.136
7.998;0.472;0.145
8.031;0.486;0.151
8.065;0.497;0.153
8.098;0.507;0.156
8.131;0.510;0.156
8.165;0.510;0.156
8.198;0.509;0.156
8.231;0.502;0.153
8.265;0.488;0.149
8.298;0.471;0.144
8.331;0.453;0.138
8.365;0.431;0.130
8.398;0.405;0.121
8.431;0.373;0.111
8.465;0.340;0.103
8.498;0.305;9.716E-2
8.531;0.265;9.018E-2
8.565;0.225;8.454E-2
