;massa_A;
t;x;y
7.732;-0.277;0.124
7.765;-0.312;0.133
7.798;-0.344;0.143
7.832;-0.370;0.151
7.865;-0.393;0.161
7.898;-0.411;0.169
7.931;-0.426;0.176
7.965;-0.437;0.182
7.998;-0.447;0.186
8.031;-0.452;0.188
8.065;-0.451;0.187
8.098;-0.448;0.184
8.131;-0.442;0.181
8.165;-0.430;0.176
8.198;-0.414;0.170
8.231;-0.393;0.163
8.265;-0.371;0.155
8.298;-0.345;0.145
8.331;-0.314;0.133
8.365;-0.282;0.123
8.398;-0.244;0.113
8.431;-0.206;0.105
8.465;-0.164;9.721E-2
8.498;-0.119;8.842E-2
8.531;-7.535E-2;8.269E-2
8.565;-3.032E-2;7.902E-2
8.598;1.720E-2;7.577E-2
8.631;6.361E-2;7.156E-2
8.665;0.111;7.193E-2
8.698;0.156;7.691E-2
8.731;0.201;8.186E-2
8.765;0.242;8.756E-2
8.798;0.285;9.403E-2
8.831;0.323;0.101
8.865;0.359;0.110
8.898;0.391;0.117
8.931;0.423;0.124
8.965;0.447;0.131
8.998;0.468;0.139
9.031;0.487;0.147
9.065;0.498;0.153
9.098;0.507;0.156
9.131;0.515;0.158
9.165;0.517;0.158
9.198;0.517;0.158
9.231;0.512;0.156
9.264;0.505;0.152
9.298;0.487;0.145
9.331;0.470;0.140
9.364;0.448;0.135
9.398;0.423;0.127
9.431;0.392;0.118
9.464;0.362;0.109
9.498;0.324;0.100
9.531;0.286;9.305E-2
9.564;0.246;8.722E-2
9.598;0.205;8.170E-2
9.631;0.159;7.780E-2
9.664;0.113;7.522E-2
9.698;6.608E-2;7.429E-2
9.731;2.051E-2;7.498E-2
9.764;-2.681E-2;7.636E-2
9.798;-7.210E-2;7.923E-2
9.831;-0.116;8.727E-2
9.864;-0.159;9.706E-2
9.898;-0.198;0.106
9.931;-0.236;0.113
9.964;-0.273;0.122
9.998;-0.308;0.132
10.031;-0.338;0.141
10.064;-0.366;0.150
10.098;-0.388;0.158
10.131;-0.404;0.167
10.164;-0.419;0.174
10.197;-0.433;0.180
10.231;-0.440;0.184
10.264;-0.446;0.185
10.297;-0.447;0.186
10.331;-0.444;0.184
10.364;-0.436;0.179
10.397;-0.425;0.174
10.431;-0.409;0.169
10.464;-0.390;0.163
10.497;-0.366;0.154
10.531;-0.339;0.144
10.564;-0.311;0.132
10.597;-0.280;0.122
10.631;-0.243;0.112
10.664;-0.204;0.105
10.697;-0.163;9.733E-2
10.731;-0.121;8.863E-2
10.764;-7.667E-2;8.390E-2
10.797;-3.130E-2;7.964E-2
10.831;1.530E-2;7.662E-2
10.864;6.203E-2;7.194E-2
10.897;0.108;7.226E-2
10.931;0.153;7.701E-2
10.964;0.199;8.190E-2
10.997;0.240;8.764E-2
11.031;0.282;9.421E-2
11.064;0.318;0.101
11.097;0.353;0.109
11.131;0.386;0.115
11.164;0.418;0.122
11.197;0.444;0.129
11.230;0.464;0.137
11.264;0.480;0.146
11.297;0.492;0.151
11.330;0.505;0.155
11.364;0.510;0.156
11.397;0.513;0.156
11.430;0.512;0.156
11.464;0.509;0.155
11.497;0.499;0.150
11.530;0.486;0.146
11.564;0.468;0.140
11.597;0.447;0.135
11.630;0.422;0.127
11.664;0.392;0.118
11.697;0.362;0.109
11.730;0.325;0.101
11.764;0.288;9.338E-2
11.797;0.249;8.716E-2
11.830;0.207;8.212E-2
11.864;0.162;7.798E-2
11.897;0.116;7.563E-2
11.930;7.100E-2;7.400E-2
11.964;2.439E-2;7.455E-2
11.997;-2.233E-2;7.609E-2
12.030;-6.738E-2;7.898E-2
12.064;-0.111;8.680E-2
12.097;-0.155;9.656E-2
12.130;-0.194;0.105
12.164;-0.232;0.113
12.197;-0.267;0.121
12.230;-0.301;0.131
12.264;-0.332;0.138
12.297;-0.360;0.148
12.330;-0.382;0.156
12.364;-0.402;0.165
12.397;-0.417;0.173
12.430;-0.428;0.178
12.464;-0.437;0.183
12.497;-0.442;0.184
12.530;-0.444;0.184
12.563;-0.443;0.183
12.597;-0.435;0.179
12.630;-0.423;0.173
12.663;-0.407;0.168
12.697;-0.387;0.161
12.730;-0.364;0.153
12.763;-0.338;0.143
12.797;-0.310;0.133
12.830;-0.279;0.122
12.863;-0.242;0.112
12.897;-0.203;0.106
12.930;-0.164;9.759E-2
