;massa_A;
t;x;y
0.000;-0.433;0.183
0.033;-0.433;0.183
0.067;-0.433;0.183
0.100;-0.433;0.183
0.133;-0.431;0.183
0.167;-0.428;0.183
0.200;-0.423;0.181
0.233;-0.411;0.174
0.267;-0.398;0.167
0.300;-0.381;0.159
0.333;-0.355;0.150
0.367;-0.327;0.140
0.400;-0.299;0.130
0.433;-0.265;0.119
0.467;-0.238;0.115
0.500;-0.202;0.107
0.533;-0.160;9.823E-2
0.566;-0.118;8.872E-2
0.600;-7.889E-2;8.267E-2
0.633;-3.350E-2;7.934E-2
0.666;1.108E-2;7.672E-2
0.700;5.756E-2;7.436E-2
0.733;0.103;7.296E-2
0.767;0.147;7.714E-2
0.800;0.190;8.150E-2
0.834;0.232;8.839E-2
0.867;0.272;9.437E-2
0.900;0.309;0.102
0.933;0.341;0.110
0.967;0.371;0.117
1.000;0.399;0.124
1.033;0.425;0.131
1.067;0.447;0.138
1.100;0.464;0.145
1.133;0.478;0.153
1.167;0.486;0.156
1.200;0.492;0.158
1.233;0.494;0.159
1.267;0.495;0.158
1.300;0.459;0.144
1.333;0.479;0.150
1.367;0.467;0.145
1.400;0.448;0.138
1.433;0.424;0.131
1.467;0.399;0.124
1.500;0.372;0.116
1.533;0.338;0.108
1.567;0.305;9.937E-2
1.600;0.267;9.298E-2
1.633;0.227;8.566E-2
1.667;0.187;7.844E-2
1.700;0.144;7.606E-2
1.733;9.686E-2;7.329E-2
1.767;5.263E-2;7.361E-2
1.800;7.646E-3;7.475E-2
1.833;-3.641E-2;7.767E-2
1.867;-8.014E-2;8.195E-2
1.900;-0.123;8.947E-2
1.933;-0.164;9.767E-2
1.966;-0.202;0.105
2.000;-0.238;0.114
2.033;-0.270;0.124
2.066;-0.302;0.134
2.100;-0.334;0.142
2.133;-0.359;0.150
2.166;-0.380;0.160
2.200;-0.398;0.169
2.233;-0.413;0.176
2.266;-0.425;0.181
2.300;-0.433;0.184
2.333;-0.437;0.186
2.366;-0.435;0.186
2.400;-0.431;0.184
2.433;-0.423;0.179
2.466;-0.410;0.172
2.500;-0.396;0.167
2.533;-0.376;0.160
2.566;-0.353;0.151
2.600;-0.327;0.141
2.633;-0.299;0.130
2.666;-0.269;0.119
2.700;-0.235;0.111
2.733;-0.197;0.105
2.766;-0.156;9.581E-2
2.800;-0.115;8.735E-2
2.833;-7.307E-2;8.226E-2
2.866;-2.797E-2;8.001E-2
2.900;1.739E-2;7.582E-2
2.933;6.337E-2;7.296E-2
2.966;0.109;7.288E-2
3.000;0.151;7.901E-2
3.033;0.192;8.335E-2
3.066;0.234;8.902E-2
3.100;0.273;9.461E-2
3.133;0.309;0.102
3.166;0.341;0.110
3.200;0.372;0.117
3.233;0.402;0.123
3.266;0.427;0.131
3.300;0.446;0.139
3.333;0.460;0.146
3.366;0.475;0.153
3.400;0.483;0.155
3.433;0.488;0.155
3.466;0.490;0.155
3.500;0.490;0.156
3.533;0.484;0.153
3.566;0.473;0.148
3.600;0.460;0.143
3.633;0.443;0.138
3.666;0.420;0.132
3.700;0.396;0.124
3.733;0.367;0.115
3.766;0.338;0.107
3.799;0.299;9.740E-2
3.833;0.264;9.260E-2
3.866;0.224;8.597E-2
3.899;0.182;7.856E-2
3.933;0.140;7.636E-2
3.966;9.410E-2;7.371E-2
3.999;5.095E-2;7.332E-2
4.033;8.108E-3;7.435E-2
4.066;-3.569E-2;7.780E-2
4.100;-7.846E-2;8.163E-2
4.133;-0.121;8.940E-2
4.166;-0.160;9.822E-2
4.199;-0.200;0.106
4.233;-0.234;0.115
4.266;-0.269;0.124
4.300;-0.302;0.133
4.333;-0.332;0.141
4.366;-0.358;0.150
4.399;-0.378;0.160
4.433;-0.394;0.168
4.466;-0.408;0.174
4.499;-0.420;0.179
4.533;-0.427;0.182
4.566;-0.433;0.183
4.599;-0.432;0.183
4.633;-0.428;0.181
4.666;-0.420;0.177
4.699;-0.409;0.172
4.733;-0.394;0.166
4.766;-0.375;0.159
4.799;-0.352;0.150
4.833;-0.327;0.140
4.866;-0.299;0.129
4.899;-0.267;0.119
4.933;-0.232;0.111
4.966;-0.194;0.105
4.999;-0.153;9.569E-2
5.033;-0.112;8.787E-2
5.066;-6.979E-2;8.322E-2
5.099;-2.620E-2;7.938E-2
5.132;1.842E-2;7.439E-2
5.166;6.228E-2;7.168E-2
5.199;0.107;7.201E-2
5.232;0.149;7.881E-2
5.266;0.190;8.172E-2
5.299;0.231;8.803E-2
5.332;0.269;9.312E-2
5.366;0.306;0.101
5.399;0.339;0.108
5.432;0.371;0.115
5.466;0.400;0.121
5.499;0.423;0.129
5.532;0.444;0.138
5.566;0.459;0.146
5.599;0.471;0.150
5.632;0.481;0.153
5.666;0.486;0.153
5.699;0.488;0.153
5.732;0.487;0.153
5.766;0.483;0.151
5.799;0.472;0.146
5.832;0.460;0.143
5.866;0.440;0.137
5.899;0.420;0.131
5.932;0.394;0.123
5.966;0.367;0.113
5.999;0.337;0.105
6.032;0.305;9.729E-2
6.066;0.265;9.118E-2
6.099;0.227;8.517E-2
6.132;0.186;7.843E-2
6.165;0.144;7.643E-2
6.199;9.853E-2;7.243E-2
6.232;5.651E-2;7.201E-2
6.265;1.264E-2;7.192E-2
6.299;-2.995E-2;7.443E-2
6.332;-7.196E-2;7.911E-2
6.365;-0.115;8.775E-2
6.399;-0.155;9.609E-2
6.432;-0.194;0.104
6.465;-0.230;0.112
6.499;-0.263;0.121
6.532;-0.298;0.128
6.565;-0.326;0.136
6.599;-0.352;0.145
6.632;-0.373;0.155
6.665;-0.387;0.163
6.699;-0.401;0.170
6.732;-0.413;0.174
6.765;-0.421;0.177
6.799;-0.426;0.179
6.832;-0.427;0.179
6.865;-0.423;0.177
6.899;-0.414;0.173
6.932;-0.406;0.169
6.965;-0.388;0.163
6.999;-0.369;0.156
7.032;-0.346;0.146
7.065;-0.323;0.136
7.099;-0.296;0.126
7.132;-0.265;0.116
