;massa_A;
t;x;y
0.000;-0.151;9.401E-2
0.033;-0.101;8.855E-2
0.067;-4.956E-2;8.523E-2
0.100;5.774E-3;8.058E-2
0.133;5.876E-2;7.828E-2
0.167;0.112;8.270E-2
0.200;0.165;8.515E-2
0.233;0.215;9.099E-2
0.267;0.264;0.102
0.300;0.315;0.107
0.333;0.354;0.114
0.367;0.394;0.127
0.400;0.433;0.135
0.433;0.469;0.146
0.467;0.497;0.160
0.500;0.518;0.166
0.533;0.541;0.168
0.566;0.558;0.179
0.600;0.570;0.187
0.633;0.581;0.190
0.666;0.582;0.193
0.700;0.581;0.192
0.733;0.573;0.185
0.766;0.561;0.179
0.800;0.544;0.176
0.833;0.525;0.168
0.866;0.502;0.158
0.900;0.476;0.148
0.933;0.443;0.137
0.966;0.402;0.127
1.000;0.362;0.121
1.033;0.319;0.108
1.066;0.275;9.673E-2
1.100;0.230;9.369E-2
1.133;0.175;8.878E-2
1.166;0.123;8.070E-2
1.200;7.255E-2;8.063E-2
1.233;1.888E-2;8.033E-2
1.266;-3.053E-2;7.796E-2
1.300;-8.233E-2;8.804E-2
1.333;-0.131;9.723E-2
1.366;-0.182;9.915E-2
1.400;-0.228;0.107
1.433;-0.269;0.119
1.466;-0.308;0.124
1.500;-0.346;0.138
1.533;-0.376;0.152
1.566;-0.408;0.157
1.599;-0.437;0.165
1.633;-0.455;0.177
1.666;-0.474;0.184
1.699;-0.483;0.188
1.733;-0.493;0.195
1.766;-0.499;0.195
1.799;-0.499;0.191
1.833;-0.493;0.193
1.866;-0.484;0.193
1.899;-0.473;0.185
1.933;-0.458;0.177
1.966;-0.436;0.169
1.999;-0.410;0.158
2.033;-0.382;0.149
2.066;-0.348;0.141
2.099;-0.314;0.129
2.133;-0.273;0.116
2.166;-0.234;0.110
2.199;-0.190;0.102
2.233;-0.137;9.192E-2
2.266;-9.113E-2;9.036E-2
2.299;-3.806E-2;8.420E-2
2.333;1.073E-2;7.724E-2
2.366;5.977E-2;7.995E-2
2.399;0.108;8.328E-2
2.433;0.161;8.332E-2
2.466;0.213;9.063E-2
2.499;0.256;0.100
2.533;0.301;0.103
2.566;0.343;0.111
2.599;0.381;0.124
2.633;0.421;0.132
2.666;0.455;0.140
2.699;0.484;0.154
2.733;0.504;0.161
2.766;0.521;0.163
2.799;0.538;0.170
2.833;0.551;0.175
2.866;0.561;0.179
2.899;0.562;0.182
2.932;0.558;0.182
2.966;0.554;0.177
2.999;0.549;0.173
3.032;0.528;0.168
3.066;0.510;0.160
3.099;0.494;0.154
3.132;0.466;0.147
3.166;0.435;0.135
3.199;0.397;0.125
3.232;0.359;0.117
3.266;0.324;0.107
3.299;0.282;9.901E-2
3.332;0.232;9.420E-2
3.366;0.184;8.868E-2
3.399;0.136;8.006E-2
3.432;8.745E-2;8.006E-2
3.466;3.721E-2;8.050E-2
3.499;-1.415E-2;7.943E-2
3.532;-6.284E-2;8.517E-2
3.566;-0.114;9.327E-2
3.599;-0.157;9.443E-2
3.632;-0.201;0.103
3.666;-0.239;0.114
3.699;-0.281;0.119
3.732;-0.320;0.130
3.766;-0.354;0.143
3.799;-0.380;0.149
3.832;-0.404;0.155
3.865;-0.425;0.166
3.899;-0.447;0.174
3.932;-0.460;0.176
3.965;-0.467;0.183
3.999;-0.473;0.185
4.032;-0.478;0.184
4.065;-0.473;0.184
4.099;-0.461;0.182
4.132;-0.451;0.174
4.165;-0.439;0.169
4.199;-0.418;0.163
4.232;-0.395;0.154
4.265;-0.366;0.144
4.299;-0.335;0.135
4.332;-0.301;0.124
4.365;-0.266;0.115
4.399;-0.225;0.111
4.432;-0.181;0.100
4.465;-0.138;9.073E-2
4.499;-8.713E-2;8.907E-2
4.532;-3.681E-2;8.380E-2
4.565;8.030E-3;7.770E-2
4.599;5.347E-2;7.969E-2
4.632;0.103;8.264E-2
4.665;0.152;8.189E-2
4.699;0.197;8.826E-2
4.732;0.245;9.869E-2
4.765;0.288;0.102
4.799;0.328;0.108
4.832;0.360;0.120
4.865;0.399;0.126
4.898;0.429;0.133
4.932;0.461;0.146
4.965;0.485;0.154
4.999;0.503;0.157
5.032;0.514;0.163
5.065;0.530;0.168
5.099;0.536;0.168
5.132;0.539;0.174
5.165;0.540;0.176
5.198;0.540;0.171
5.232;0.527;0.165
5.265;0.507;0.160
5.298;0.488;0.152
5.332;0.469;0.147
5.365;0.449;0.143
5.398;0.420;0.133
5.432;0.387;0.122
5.465;0.349;0.114
5.498;0.311;0.105
5.532;0.262;9.731E-2
5.565;0.220;9.438E-2
5.598;0.181;8.871E-2
5.632;0.138;7.974E-2
5.665;9.209E-2;7.992E-2
5.698;4.067E-2;8.154E-2
5.732;-1.015E-2;7.993E-2
5.765;-5.863E-2;8.347E-2
5.798;-0.103;9.112E-2
5.832;-0.145;9.209E-2
5.865;-0.185;9.967E-2
5.898;-0.223;0.111
5.932;-0.265;0.116
5.965;-0.307;0.124
5.998;-0.335;0.136
6.032;-0.361;0.144
6.065;-0.384;0.149
6.098;-0.403;0.158
6.132;-0.420;0.163
6.165;-0.440;0.167
6.198;-0.448;0.174
6.231;-0.456;0.179
