;massa_A;
t;x;y
7.564;3.352E-2;6.945E-2
7.598;7.564E-2;7.321E-2
7.631;0.117;7.557E-2
7.664;0.154;7.722E-2
7.698;0.189;8.224E-2
7.731;0.227;8.658E-2
7.764;0.262;9.126E-2
7.798;0.292;0.101
7.831;0.321;0.109
7.864;0.349;0.112
7.898;0.374;0.117
7.931;0.393;0.125
7.964;0.409;0.131
7.998;0.421;0.137
8.031;0.432;0.139
8.064;0.442;0.137
8.098;0.444;0.139
8.131;0.443;0.142
8.164;0.441;0.142
8.198;0.434;0.139
8.231;0.424;0.134
8.264;0.411;0.127
8.298;0.393;0.125
8.331;0.372;0.122
8.364;0.349;0.115
8.398;0.328;0.107
8.431;0.299;9.779E-2
8.464;0.264;9.278E-2
8.498;0.227;9.092E-2
8.531;0.194;8.572E-2
8.564;0.161;7.762E-2
8.597;0.123;7.096E-2
8.631;8.430E-2;7.067E-2
8.664;4.453E-2;7.322E-2
8.697;3.885E-3;7.260E-2
8.731;-3.651E-2;7.122E-2
8.764;-7.372E-2;7.440E-2
8.797;-0.108;7.969E-2
8.831;-0.142;8.719E-2
8.864;-0.177;9.598E-2
8.897;-0.211;9.807E-2
8.931;-0.242;9.961E-2
8.964;-0.267;0.110
8.997;-0.291;0.120
9.031;-0.311;0.124
9.064;-0.328;0.128
9.097;-0.346;0.131
9.131;-0.359;0.135
9.164;-0.366;0.142
9.197;-0.368;0.145
9.231;-0.371;0.142
9.264;-0.371;0.140
9.297;-0.369;0.139
9.331;-0.360;0.138
9.364;-0.347;0.139
9.397;-0.334;0.132
9.431;-0.319;0.122
9.464;-0.299;0.117
9.497;-0.272;0.113
9.530;-0.249;0.109
9.564;-0.220;0.102
9.597;-0.189;9.239E-2
9.630;-0.158;8.439E-2
9.664;-0.123;8.226E-2
9.697;-8.593E-2;8.233E-2
9.730;-4.853E-2;7.912E-2
9.764;-1.258E-2;7.232E-2
9.797;2.368E-2;6.835E-2
9.830;6.227E-2;7.206E-2
9.864;0.101;7.713E-2
9.897;0.139;7.911E-2
9.930;0.172;8.074E-2
9.964;0.206;8.292E-2
9.997;0.239;8.752E-2
10.030;0.268;9.674E-2
10.064;0.295;0.105
10.097;0.323;0.108
10.130;0.349;0.110
10.164;0.369;0.116
10.197;0.383;0.123
10.230;0.396;0.131
10.264;0.407;0.134
10.297;0.416;0.131
10.330;0.418;0.130
10.364;0.418;0.133
10.397;0.415;0.136
10.430;0.409;0.135
10.464;0.402;0.130
10.497;0.391;0.122
10.530;0.376;0.119
10.563;0.357;0.119
10.597;0.332;0.112
10.630;0.310;0.104
10.663;0.284;9.663E-2
10.697;0.253;9.169E-2
10.730;0.220;8.991E-2
10.763;0.189;8.662E-2
10.797;0.156;7.994E-2
10.830;0.119;7.268E-2
10.863;8.231E-2;7.266E-2
10.897;4.528E-2;7.490E-2
10.930;8.822E-3;7.530E-2
10.963;-2.851E-2;7.454E-2
10.997;-6.405E-2;7.552E-2
11.030;-0.100;7.921E-2
11.063;-0.132;8.701E-2
11.097;-0.165;9.502E-2
11.130;-0.196;9.743E-2
11.163;-0.223;9.768E-2
11.197;-0.248;0.105
11.230;-0.271;0.115
11.263;-0.292;0.121
11.297;-0.309;0.124
11.330;-0.324;0.124
11.363;-0.336;0.128
11.397;-0.343;0.134
11.430;-0.346;0.139
11.463;-0.348;0.138
11.497;-0.350;0.134
11.530;-0.346;0.131
11.563;-0.335;0.132
11.597;-0.323;0.132
11.630;-0.310;0.127
11.663;-0.296;0.117
11.697;-0.274;0.110
11.730;-0.248;0.108
11.763;-0.225;0.104
11.797;-0.197;9.797E-2
11.830;-0.170;8.936E-2
11.863;-0.139;8.228E-2
11.896;-0.106;8.175E-2
11.930;-6.991E-2;8.190E-2
11.963;-3.547E-2;7.772E-2
11.996;-9.616E-4;7.196E-2
12.030;3.539E-2;6.937E-2
12.063;7.057E-2;7.267E-2
12.096;0.106;7.805E-2
12.130;0.141;8.042E-2
12.163;0.174;8.086E-2
12.196;0.206;8.222E-2
12.230;0.234;8.765E-2
12.263;0.262;9.681E-2
12.296;0.287;0.103
12.330;0.314;0.105
12.363;0.337;0.106
12.396;0.353;0.112
12.430;0.367;0.118
12.463;0.377;0.125
12.496;0.389;0.128
12.530;0.395;0.125
12.563;0.398;0.123
12.596;0.395;0.127
12.630;0.390;0.128
12.663;0.384;0.125
12.696;0.378;0.121
12.730;0.367;0.115
12.763;0.352;0.111
12.796;0.330;0.110
12.829;0.306;0.104
12.863;0.282;9.711E-2
12.896;0.257;9.212E-2
12.929;0.230;8.781E-2
12.963;0.202;8.493E-2
12.996;0.169;8.221E-2
13.029;0.136;7.654E-2
13.063;0.100;7.185E-2
13.096;6.588E-2;7.300E-2
13.129;3.347E-2;7.450E-2
13.163;-7.329E-4;7.255E-2
13.196;-3.524E-2;7.444E-2
13.229;-7.011E-2;7.750E-2
13.263;-0.103;8.051E-2
13.296;-0.135;8.734E-2
13.329;-0.164;9.247E-2
13.363;-0.191;9.376E-2
13.396;-0.214;9.728E-2
13.429;-0.240;0.104
13.463;-0.264;0.112
13.496;-0.283;0.119
13.529;-0.298;0.122
13.563;-0.308;0.120
13.596;-0.317;0.122
13.629;-0.323;0.129
13.663;-0.326;0.130
13.696;-0.328;0.130
13.729;-0.329;0.129
13.763;-0.323;0.125
13.796;-0.309;0.122
13.829;-0.296;0.121
13.862;-0.283;0.117
13.896;-0.270;0.111
13.929;-0.249;0.106
13.962;-0.227;0.102
13.996;-0.200;9.807E-2
14.029;-0.173;9.188E-2
14.062;-0.143;8.496E-2
14.096;-0.113;8.115E-2
14.129;-8.348E-2;7.976E-2
14.162;-5.325E-2;7.815E-2
14.196;-1.957E-2;7.361E-2
14.229;1.804E-2;7.041E-2
14.262;5.370E-2;7.070E-2
14.296;8.530E-2;7.285E-2
14.329;0.116;7.527E-2
14.362;0.148;7.848E-2
14.396;0.179;8.037E-2
14.429;0.209;8.123E-2
14.462;0.237;8.835E-2
14.496;0.264;9.593E-2
14.529;0.288;9.987E-2
14.562;0.307;0.101
14.596;0.326;0.104
14.629;0.341;0.108
14.662;0.356;0.114
14.696;0.366;0.118
14.729;0.376;0.119
14.762;0.380;0.119
14.796;0.379;0.119
14.829;0.374;0.119
14.862;0.368;0.119
14.896;0.363;0.117
14.929;0.354;0.111
14.962;0.339;0.107
14.996;0.320;0.105
15.029;0.298;0.101
15.062;0.274;9.655E-2
15.096;0.251;9.170E-2
15.129;0.229;8.695E-2
15.162;0.203;8.343E-2
15.195;0.172;8.146E-2
15.229;0.138;7.704E-2
15.262;0.103;7.277E-2
15.295;7.271E-2;7.217E-2
15.329;4.218E-2;7.223E-2
15.362;1.130E-2;7.231E-2
15.395;-2.143E-2;7.446E-2
15.429;-5.516E-2;7.583E-2
15.462;-8.893E-2;7.831E-2
15.495;-0.119;8.320E-2
15.529;-0.146;8.917E-2
15.562;-0.170;9.192E-2
15.595;-0.195;9.416E-2
15.629;-0.219;9.898E-2
15.662;-0.241;0.105
15.695;-0.262;0.112
15.729;-0.277;0.116
15.762;-0.286;0.117
15.795;-0.294;0.117
15.829;-0.302;0.119
15.862;-0.309;0.123
15.895;-0.312;0.127
15.929;-0.310;0.125
15.962;-0.304;0.120
15.995;-0.294;0.117
16.029;-0.281;0.117
16.062;-0.270;0.114
16.095;-0.258;0.109
16.129;-0.242;0.105
16.162;-0.221;0.101
16.195;-0.194;9.540E-2
16.228;-0.168;9.159E-2
16.262;-0.142;8.684E-2
16.295;-0.114;8.253E-2
16.328;-8.631E-2;8.046E-2
16.362;-5.792E-2;7.767E-2
16.395;-2.698E-2;7.396E-2
16.428;8.781E-3;7.270E-2
16.462;4.218E-2;7.237E-2
16.495;7.146E-2;7.273E-2
16.528;9.978E-2;7.595E-2
16.562;0.130;7.742E-2
16.595;0.161;7.926E-2
