;massa_A;
4.432;-8.339E-3;7.184E-2
4.465;-4.976E-2;7.356E-2
4.499;-8.724E-2;7.888E-2
4.532;-0.126;8.141E-2
4.565;-0.163;8.857E-2
4.599;-0.198;9.844E-2
4.632;-0.232;0.102
4.665;-0.268;0.108
4.699;-0.297;0.118
4.732;-0.319;0.126
4.765;-0.337;0.131
4.799;-0.356;0.138
4.832;-0.373;0.141
4.865;-0.388;0.146
4.898;-0.395;0.151
4.932;-0.400;0.155
4.965;-0.401;0.154
4.999;-0.400;0.151
5.032;-0.393;0.149
5.065;-0.383;0.146
5.099;-0.370;0.143
5.132;-0.356;0.138
5.165;-0.336;0.129
5.198;-0.311;0.121
5.232;-0.286;0.116
5.265;-0.259;0.108
5.298;-0.226;0.101
5.332;-0.193;9.531E-2
5.365;-0.158;8.535E-2
5.398;-0.122;8.023E-2
5.432;-8.225E-2;8.026E-2
5.465;-4.043E-2;7.587E-2
5.498;-1.193E-3;7.087E-2
5.532;3.765E-2;6.789E-2
5.565;7.768E-2;7.031E-2
5.598;0.120;7.256E-2
5.632;0.159;7.769E-2
5.665;0.195;8.299E-2
5.698;0.231;8.494E-2
5.732;0.266;8.873E-2
5.765;0.296;9.833E-2
5.798;0.323;0.106
5.832;0.351;0.110
5.865;0.377;0.115
5.898;0.398;0.121
5.932;0.415;0.128
5.965;0.424;0.133
5.998;0.432;0.136
6.032;0.442;0.135
6.065;0.446;0.135
6.098;0.444;0.136
6.132;0.441;0.136
6.165;0.435;0.136
6.198;0.424;0.132
6.231;0.411;0.125
6.265;0.396;0.120
6.298;0.376;0.118
6.331;0.354;0.113
6.365;0.330;0.105
6.398;0.300;9.760E-2
6.431;0.264;8.864E-2
6.465;0.230;8.592E-2
6.498;0.195;8.315E-2
6.531;0.161;7.818E-2
6.565;0.126;7.083E-2
6.598;8.760E-2;6.984E-2
6.631;4.671E-2;7.300E-2
6.665;4.819E-3;7.223E-2
6.698;-3.347E-2;7.296E-2
6.731;-6.930E-2;7.608E-2
6.765;-0.106;7.816E-2
6.798;-0.139;8.319E-2
6.831;-0.174;9.342E-2
6.865;-0.207;9.812E-2
6.898;-0.238;0.101
6.931;-0.264;0.108
6.965;-0.288;0.117
6.998;-0.307;0.122
7.031;-0.325;0.126
7.065;-0.341;0.131
7.098;-0.354;0.133
7.131;-0.364;0.138
7.165;-0.368;0.143
7.198;-0.366;0.142
7.231;-0.365;0.139
7.264;-0.361;0.136
7.298;-0.353;0.134
7.331;-0.342;0.133
7.364;-0.327;0.130
7.398;-0.309;0.121
7.431;-0.292;0.113
7.464;-0.263;0.109
7.498;-0.235;0.104
7.531;-0.210;9.785E-2
7.564;-0.180;9.111E-2
7.598;-0.149;8.313E-2
7.631;-0.114;7.828E-2
7.664;-7.702E-2;7.790E-2
7.698;-4.004E-2;7.514E-2
7.731;-3.436E-3;7.026E-2
7.764;3.423E-2;6.773E-2
7.798;7.088E-2;6.857E-2
7.831;0.108;7.166E-2
7.864;0.145;7.532E-2
7.898;0.179;7.995E-2
7.931;0.213;8.140E-2
7.964;0.244;8.350E-2
7.998;0.273;9.203E-2
8.031;0.299;0.100
8.064;0.325;0.104
8.098;0.349;0.106
8.131;0.369;0.110
8.164;0.385;0.116
8.198;0.396;0.123
8.231;0.404;0.127
8.264;0.412;0.125
8.298;0.414;0.124
8.331;0.413;0.124
8.364;0.407;0.124
8.398;0.398;0.124
8.431;0.391;0.121
8.464;0.377;0.114
8.498;0.361;0.108
8.531;0.339;0.104
8.564;0.316;0.100
8.597;0.289;9.525E-2
8.631;0.261;8.834E-2
8.664;0.233;8.302E-2
8.697;0.203;7.944E-2
8.731;0.170;7.730E-2
8.764;0.134;7.243E-2
8.797;9.761E-2;6.986E-2
8.831;6.131E-2;6.990E-2
8.864;2.635E-2;7.007E-2
8.897;-8.407E-3;7.012E-2
8.931;-4.313E-2;7.312E-2
8.964;-7.907E-2;7.766E-2
8.997;-0.114;8.006E-2
9.031;-0.147;8.522E-2
9.064;-0.178;9.202E-2
9.097;-0.204;9.520E-2
9.131;-0.229;0.100
9.164;-0.254;0.107
9.197;-0.276;0.113
9.231;-0.295;0.118
9.264;-0.310;0.123
9.297;-0.320;0.124
9.331;-0.329;0.126
9.364;-0.336;0.131
9.397;-0.338;0.131
9.431;-0.338;0.131
9.464;-0.338;0.131
9.497;-0.334;0.128
9.530;-0.321;0.124
9.564;-0.307;0.121
9.597;-0.291;0.116
9.630;-0.277;0.112
9.664;-0.258;0.107
9.697;-0.235;0.102
9.730;-0.207;9.665E-2
9.764;-0.179;9.066E-2
9.797;-0.150;8.502E-2
9.830;-0.117;8.116E-2
9.864;-8.581E-2;7.807E-2
9.897;-5.567E-2;7.515E-2
9.930;-2.268E-2;7.162E-2
9.964;1.376E-2;6.796E-2
9.997;5.074E-2;6.940E-2
10.030;8.562E-2;7.248E-2
10.064;0.120;7.247E-2
10.097;0.151;7.484E-2
10.130;0.180;7.883E-2
10.164;0.211;8.236E-2
10.197;0.240;8.578E-2
10.230;0.269;9.277E-2
10.264;0.293;9.811E-2
10.297;0.315;0.100
10.330;0.332;0.103
10.364;0.348;0.108
10.397;0.359;0.111
10.430;0.373;0.115
10.464;0.381;0.118
10.497;0.388;0.120
10.530;0.386;0.118
10.563;0.382;0.118
10.597;0.372;0.116
10.630;0.364;0.113
10.663;0.354;0.110
10.697;0.339;0.106
10.730;0.320;0.101
10.763;0.300;9.779E-2
10.797;0.275;9.350E-2
10.830;0.248;8.783E-2
10.863;0.224;8.356E-2
10.897;0.198;8.148E-2
10.930;0.168;7.607E-2
10.963;0.136;7.233E-2
10.997;0.101;7.117E-2
11.030;6.841E-2;7.046E-2
11.063;3.693E-2;6.879E-2
11.097;5.271E-3;6.846E-2
11.130;-2.653E-2;7.022E-2
11.163;-5.859E-2;7.270E-2
11.197;-9.164E-2;7.726E-2
11.230;-0.122;8.158E-2
11.263;-0.151;8.558E-2
11.297;-0.177;8.966E-2
11.330;-0.200;9.302E-2
11.363;-0.222;9.781E-2
11.397;-0.242;0.104
11.430;-0.262;0.108
11.463;-0.281;0.113
11.497;-0.291;0.116
11.530;-0.299;0.118
11.563;-0.303;0.118
11.597;-0.308;0.120
11.630;-0.311;0.122
11.663;-0.312;0.122
11.697;-0.308;0.120
11.730;-0.300;0.118
11.763;-0.288;0.116
11.797;-0.275;0.113
11.830;-0.261;0.108
11.863;-0.246;0.105
11.896;-0.228;0.101
11.930;-0.207;9.547E-2
11.963;-0.180;9.091E-2
11.996;-0.152;8.526E-2
12.030;-0.123;8.236E-2
12.063;-9.636E-2;8.004E-2
12.096;-7.037E-2;7.552E-2
12.130;-4.123E-2;7.227E-2
12.163;-9.290E-3;7.067E-2
12.196;2.559E-2;6.937E-2
12.230;5.910E-2;6.984E-2
12.263;8.890E-2;7.163E-2
12.296;0.118;7.285E-2
12.330;0.146;7.355E-2
12.363;0.174;7.634E-2
12.396;0.201;8.038E-2
12.430;0.227;8.354E-2
12.463;0.252;8.845E-2
12.496;0.274;9.135E-2
12.530;0.292;9.369E-2
12.563;0.306;9.644E-2
12.596;0.318;9.921E-2
12.630;0.331;0.101
12.663;0.341;0.105
12.696;0.349;0.108
12.730;0.352;0.106
12.763;0.350;0.106
12.796;0.344;0.107
12.830;0.338;0.104
12.863;0.330;0.101
12.896;0.319;9.833E-2
12.929;0.306;9.528E-2
12.963;0.290;9.292E-2
12.996;0.270;8.859E-2
13.029;0.249;8.557E-2
13.063;0.227;8.226E-2
13.096;0.202;7.880E-2
13.129;0.178;7.495E-2
13.163;0.150;7.191E-2
13.196;0.121;6.995E-2
13.229;9.186E-2;6.881E-2
13.263;6.340E-2;6.846E-2
13.296;3.489E-2;6.740E-2
13.329;4.068E-3;6.677E-2
13.363;-2.624E-2;6.803E-2
13.396;-5.515E-2;7.091E-2
13.429;-8.184E-2;7.437E-2
13.463;-0.108;7.798E-2
13.496;-0.133;8.122E-2
13.529;-0.157;8.350E-2
13.563;-0.180;8.785E-2
13.596;-0.197;9.174E-2
13.629;-0.216;9.488E-2
13.663;-0.233;0.100
13.696;-0.248;0.103
13.729;-0.258;0.106
13.763;-0.265;0.108
13.796;-0.270;0.108
13.829;-0.272;0.108
13.862;-0.271;0.109
13.896;-0.271;0.108
13.929;-0.268;0.108
13.962;-0.260;0.106
13.996;-0.250;0.104
14.029;-0.238;0.101
14.062;-0.221;9.638E-2
14.096;-0.206;9.318E-2
14.129;-0.190;9.014E-2
14.163;-0.169;8.559E-2
14.196;-0.146;8.287E-2
14.229;-0.122;7.998E-2
14.262;-9.705E-2;7.671E-2
14.296;-7.196E-2;7.375E-2
14.329;-4.637E-2;7.030E-2
14.362;-1.883E-2;6.771E-2
14.396;1.089E-2;6.743E-2
14.429;3.985E-2;6.750E-2
14.462;6.620E-2;6.759E-2
14.496;9.272E-2;6.967E-2
14.529;0.119;7.036E-2
14.562;0.147;7.231E-2
14.596;0.170;7.423E-2
14.629;0.193;7.700E-2
14.662;0.214;8.078E-2
14.696;0.234;8.361E-2
14.729;0.252;8.630E-2
14.762;0.268;8.821E-2
14.796;0.282;9.105E-2
14.829;0.292;9.165E-2
14.862;0.300;9.405E-2
14.896;0.304;9.683E-2
14.929;0.310;9.599E-2
14.962;0.314;9.491E-2
14.996;0.313;9.556E-2
15.029;0.308;9.547E-2
15.062;0.302;9.521E-2
15.096;0.293;9.285E-2
15.129;0.283;8.966E-2
15.162;0.270;8.809E-2
15.195;0.255;8.614E-2
15.229;0.239;8.229E-2
15.262;0.220;8.082E-2
15.295;0.198;7.862E-2
15.329;0.177;7.281E-2
15.362;0.155;7.100E-2
15.395;0.130;6.866E-2
15.429;0.106;6.723E-2
15.462;8.209E-2;6.808E-2
15.495;5.711E-2;6.712E-2
15.529;3.047E-2;6.484E-2
15.562;2.871E-3;6.502E-2
15.595;-2.272E-2;6.743E-2
15.629;-4.627E-2;7.013E-2
15.662;-6.799E-2;7.272E-2
