;massa_A;
t;x;y
0.000;-0.461;0.179
0.033;-0.461;0.179
0.067;-0.461;0.179
0.100;-0.461;0.179
0.133;-0.461;0.179
0.167;-0.461;0.179
0.200;-0.461;0.179
0.233;-0.461;0.179
0.267;-0.461;0.179
0.300;-0.461;0.179
0.333;-0.461;0.179
0.367;-0.461;0.179
0.400;-0.461;0.179
0.433;-0.461;0.179
0.467;-0.461;0.179
0.500;-0.461;0.178
0.533;-0.456;0.176
0.566;-0.446;0.171
0.600;-0.433;0.166
0.633;-0.416;0.159
0.666;-0.398;0.151
0.700;-0.376;0.146
0.733;-0.347;0.136
0.766;-0.315;0.126
0.800;-0.280;0.116
0.833;-0.242;0.106
0.866;-0.204;9.831E-2
0.900;-0.159;8.901E-2
0.933;-0.117;8.174E-2
0.966;-7.179E-2;7.856E-2
1.000;-2.576E-2;7.546E-2
1.033;2.256E-2;7.053E-2
1.066;6.844E-2;7.138E-2
1.100;0.114;7.426E-2
1.133;0.161;7.581E-2
1.166;0.204;8.290E-2
1.200;0.246;9.214E-2
1.233;0.287;9.390E-2
1.266;0.327;0.103
1.300;0.358;0.114
1.333;0.391;0.120
1.366;0.421;0.130
1.400;0.446;0.141
1.433;0.467;0.145
1.466;0.481;0.149
1.500;0.494;0.156
1.533;0.505;0.161
1.566;0.511;0.163
1.599;0.513;0.166
1.633;0.510;0.163
1.666;0.504;0.158
1.699;0.494;0.156
1.733;0.479;0.151
1.766;0.462;0.144
1.799;0.441;0.136
1.833;0.417;0.128
1.866;0.388;0.120
1.899;0.356;0.113
1.933;0.321;0.104
1.966;0.284;9.339E-2
1.999;0.243;8.746E-2
2.033;0.199;8.320E-2
2.066;0.156;7.795E-2
2.099;0.113;7.251E-2
2.133;6.902E-2;7.277E-2
2.166;2.373E-2;7.259E-2
2.199;-2.359E-2;7.245E-2
2.233;-6.776E-2;7.887E-2
2.266;-0.110;8.386E-2
2.299;-0.154;8.610E-2
2.333;-0.193;9.390E-2
2.366;-0.229;0.104
2.399;-0.263;0.109
2.433;-0.296;0.119
2.466;-0.329;0.130
2.499;-0.354;0.136
2.533;-0.375;0.143
2.566;-0.395;0.153
2.599;-0.409;0.157
2.633;-0.421;0.161
2.666;-0.428;0.167
2.699;-0.436;0.168
2.733;-0.436;0.166
2.766;-0.430;0.166
2.799;-0.421;0.163
2.833;-0.412;0.158
2.866;-0.399;0.153
2.899;-0.381;0.146
2.932;-0.354;0.136
2.966;-0.329;0.130
2.999;-0.300;0.121
3.032;-0.270;0.110
3.066;-0.235;0.104
3.099;-0.196;9.613E-2
3.132;-0.161;8.771E-2
3.166;-0.119;8.267E-2
3.199;-7.415E-2;7.935E-2
3.232;-2.950E-2;7.311E-2
3.266;1.305E-2;6.962E-2
3.299;5.377E-2;7.101E-2
3.332;9.743E-2;7.296E-2
3.366;0.142;7.431E-2
3.399;0.185;7.996E-2
3.432;0.224;8.752E-2
3.466;0.262;9.063E-2
3.499;0.299;9.794E-2
3.532;0.331;0.108
3.566;0.361;0.112
3.599;0.390;0.120
3.632;0.417;0.130
3.666;0.435;0.136
3.699;0.450;0.141
3.732;0.459;0.144
3.766;0.469;0.146
3.799;0.478;0.148
3.832;0.479;0.152
3.865;0.480;0.153
3.899;0.475;0.148
3.932;0.465;0.144
3.965;0.452;0.141
3.999;0.434;0.134
4.032;0.418;0.131
4.065;0.396;0.127
4.099;0.375;0.118
4.132;0.346;0.108
4.165;0.312;0.101
4.199;0.277;9.337E-2
4.232;0.235;8.875E-2
4.265;0.197;8.405E-2
4.299;0.163;7.725E-2
4.332;0.124;7.092E-2
4.365;8.255E-2;7.229E-2
4.399;3.802E-2;7.311E-2
