;massa_A;
t;x;y
0.000;-0.476;0.172
0.017;-0.476;0.172
0.033;-0.476;0.172
0.050;-0.476;0.172
0.067;-0.476;0.172
0.083;-0.476;0.172
0.100;-0.476;0.172
0.117;-0.474;0.171
0.133;-0.472;0.169
0.150;-0.468;0.167
0.167;-0.463;0.165
0.183;-0.457;0.162
0.200;-0.450;0.158
0.217;-0.442;0.154
0.233;-0.432;0.150
0.250;-0.421;0.145
0.266;-0.410;0.140
0.283;-0.397;0.135
0.300;-0.383;0.129
0.317;-0.369;0.124
0.333;-0.353;0.118
0.350;-0.337;0.112
0.367;-0.319;0.107
0.383;-0.301;0.101
0.400;-0.281;9.540E-2
0.417;-0.261;9.014E-2
0.433;-0.240;8.533E-2
0.450;-0.219;8.078E-2
0.466;-0.197;7.646E-2
0.483;-0.174;7.281E-2
0.500;-0.151;6.951E-2
0.517;-0.127;6.666E-2
0.533;-0.104;6.461E-2
0.550;-7.948E-2;6.290E-2
0.567;-5.528E-2;6.181E-2
0.583;-3.116E-2;6.140E-2
0.600;-6.917E-3;6.144E-2
0.616;1.708E-2;6.202E-2
0.633;4.106E-2;6.314E-2
0.650;6.457E-2;6.487E-2
0.666;8.811E-2;6.712E-2
0.683;0.111;6.971E-2
0.700;0.133;7.294E-2
0.716;0.156;7.668E-2
0.733;0.177;8.083E-2
0.750;0.198;8.533E-2
0.766;0.219;9.022E-2
0.783;0.238;9.541E-2
0.800;0.257;0.101
0.816;0.276;0.106
0.833;0.293;0.112
0.850;0.309;0.118
0.866;0.325;0.123
0.883;0.339;0.129
0.900;0.353;0.134
0.916;0.366;0.140
0.933;0.378;0.145
0.950;0.389;0.150
0.966;0.398;0.155
0.983;0.407;0.159
1.000;0.415;0.163
1.016;0.421;0.166
1.033;0.427;0.169
1.050;0.432;0.172
1.066;0.436;0.174
1.083;0.438;0.176
1.100;0.440;0.177
1.116;0.440;0.177
1.133;0.440;0.177
1.150;0.438;0.177
1.166;0.435;0.175
1.183;0.431;0.174
1.200;0.426;0.172
1.216;0.420;0.169
1.233;0.413;0.166
1.250;0.405;0.162
1.266;0.396;0.158
1.283;0.386;0.154
1.300;0.375;0.149
1.316;0.363;0.144
1.333;0.349;0.139
1.350;0.335;0.133
1.366;0.319;0.128
1.383;0.303;0.122
1.400;0.286;0.116
1.416;0.268;0.111
1.433;0.250;0.105
1.450;0.230;0.100
1.466;0.210;9.496E-2
1.483;0.189;9.024E-2
1.500;0.167;8.578E-2
1.516;0.145;8.182E-2
1.533;0.123;7.817E-2
1.549;9.987E-2;7.510E-2
1.566;7.657E-2;7.241E-2
1.583;5.304E-2;7.022E-2
1.600;2.925E-2;6.867E-2
1.616;5.400E-3;6.760E-2
1.633;-1.854E-2;6.701E-2
1.650;-4.243E-2;6.718E-2
1.666;-6.610E-2;6.776E-2
1.683;-8.978E-2;6.894E-2
1.700;-0.113;7.047E-2
1.716;-0.136;7.257E-2
1.733;-0.159;7.515E-2
1.749;-0.181;7.815E-2
1.766;-0.203;8.161E-2
1.783;-0.224;8.544E-2
1.799;-0.244;8.953E-2
1.816;-0.264;9.395E-2
1.833;-0.283;9.849E-2
1.849;-0.302;0.103
1.866;-0.320;0.108
1.883;-0.336;0.113
1.899;-0.352;0.118
1.916;-0.367;0.123
1.933;-0.381;0.128
1.949;-0.394;0.132
1.966;-0.407;0.137
1.983;-0.418;0.141
2.000;-0.428;0.145
2.016;-0.437;0.149
2.033;-0.446;0.152
2.049;-0.453;0.155
2.066;-0.459;0.158
2.083;-0.464;0.160
2.099;-0.468;0.162
2.116;-0.472;0.163
2.133;-0.473;0.164
2.149;-0.474;0.164
2.166;-0.474;0.163
2.183;-0.473;0.163
2.199;-0.471;0.161
2.216;-0.467;0.159
2.233;-0.463;0.157
2.249;-0.457;0.154
2.266;-0.451;0.151
2.283;-0.443;0.147
2.299;-0.434;0.143
2.316;-0.424;0.139
2.333;-0.413;0.134
2.349;-0.401;0.129
2.366;-0.388;0.124
2.383;-0.374;0.119
2.399;-0.358;0.113
2.416;-0.343;0.108
2.433;-0.325;0.102
2.449;-0.307;9.717E-2
2.466;-0.288;9.201E-2
2.483;-0.269;8.710E-2
2.499;-0.248;8.244E-2
2.516;-0.227;7.813E-2
2.533;-0.205;7.428E-2
2.549;-0.182;7.064E-2
2.566;-0.159;6.744E-2
2.583;-0.135;6.472E-2
2.599;-0.112;6.268E-2
2.616;-8.743E-2;6.126E-2
2.633;-6.313E-2;6.034E-2
2.649;-3.864E-2;5.998E-2
2.666;-1.431E-2;6.011E-2
2.683;1.022E-2;6.096E-2
