;massa_A;
t;x;y
3.816;0.255;0.112
3.832;0.238;0.107
3.849;0.219;0.101
3.866;0.200;9.581E-2
3.882;0.180;9.088E-2
3.899;0.160;8.603E-2
3.916;0.139;8.173E-2
3.932;0.118;7.766E-2
3.949;9.575E-2;7.408E-2
3.966;7.356E-2;7.076E-2
3.982;5.115E-2;6.797E-2
3.999;2.840E-2;6.588E-2
4.016;5.633E-3;6.423E-2
4.032;-1.703E-2;6.302E-2
4.049;-3.986E-2;6.246E-2
4.066;-6.268E-2;6.238E-2
4.082;-8.518E-2;6.267E-2
4.099;-0.108;6.368E-2
4.115;-0.130;6.497E-2
4.132;-0.152;6.673E-2
4.149;-0.173;6.899E-2
4.166;-0.194;7.172E-2
4.182;-0.215;7.483E-2
4.199;-0.235;7.815E-2
4.216;-0.254;8.183E-2
4.232;-0.273;8.585E-2
4.249;-0.291;9.010E-2
4.266;-0.309;9.460E-2
4.282;-0.325;9.915E-2
4.299;-0.341;0.104
4.316;-0.357;0.108
4.332;-0.371;0.113
4.349;-0.385;0.118
4.366;-0.397;0.122
4.382;-0.409;0.127
4.399;-0.419;0.131
4.416;-0.429;0.135
4.432;-0.438;0.139
4.449;-0.446;0.142
4.466;-0.453;0.145
4.482;-0.459;0.148
4.499;-0.464;0.150
4.516;-0.468;0.152
4.532;-0.470;0.153
4.549;-0.473;0.154
4.565;-0.473;0.155
4.582;-0.473;0.155
4.599;-0.472;0.154
4.615;-0.470;0.153
4.632;-0.467;0.151
4.649;-0.462;0.150
4.666;-0.457;0.147
4.682;-0.451;0.144
4.699;-0.443;0.141
4.715;-0.435;0.137
4.732;-0.425;0.133
4.749;-0.415;0.129
4.765;-0.403;0.125
4.782;-0.391;0.120
4.799;-0.377;0.116
4.815;-0.363;0.111
4.832;-0.348;0.106
4.849;-0.331;0.101
4.865;-0.314;9.643E-2
4.882;-0.296;9.168E-2
4.899;-0.278;8.723E-2
4.915;-0.258;8.313E-2
4.932;-0.238;7.931E-2
4.949;-0.217;7.569E-2
4.965;-0.196;7.238E-2
4.982;-0.175;6.952E-2
4.999;-0.152;6.732E-2
5.015;-0.130;6.544E-2
5.032;-0.107;6.413E-2
5.049;-8.444E-2;6.333E-2
5.065;-6.155E-2;6.292E-2
5.082;-3.854E-2;6.305E-2
5.099;-1.540E-2;6.382E-2
5.115;7.378E-3;6.512E-2
5.132;2.997E-2;6.685E-2
5.149;5.248E-2;6.907E-2
5.165;7.463E-2;7.182E-2
5.182;9.629E-2;7.487E-2
5.199;0.118;7.838E-2
5.215;0.139;8.233E-2
5.232;0.159;8.669E-2
5.249;0.179;9.139E-2
5.265;0.198;9.620E-2
5.282;0.216;0.101
5.299;0.233;0.106
5.315;0.250;0.112
5.332;0.266;0.117
5.349;0.282;0.122
5.365;0.296;0.127
5.382;0.309;0.132
5.399;0.322;0.137
5.415;0.333;0.142
5.432;0.344;0.147
5.448;0.354;0.151
5.465;0.363;0.155
5.482;0.371;0.159
5.499;0.377;0.162
5.515;0.383;0.165
5.532;0.388;0.167
5.549;0.391;0.169
5.565;0.394;0.171
5.582;0.396;0.171
5.599;0.397;0.172
5.615;0.396;0.172
5.632;0.395;0.171
5.648;0.393;0.170
5.665;0.389;0.168
5.682;0.385;0.166
5.698;0.379;0.163
5.715;0.373;0.160
5.732;0.365;0.157
5.749;0.357;0.153
5.765;0.347;0.149
5.782;0.337;0.144
5.798;0.325;0.140
5.815;0.313;0.135
5.832;0.299;0.130
5.848;0.285;0.124
5.865;0.269;0.119
5.882;0.253;0.114
5.898;0.236;0.108
5.915;0.218;0.103
5.932;0.200;9.795E-2
5.948;0.180;9.305E-2
5.965;0.160;8.841E-2
5.982;0.140;8.410E-2
5.998;0.119;8.016E-2
6.015;9.713E-2;7.650E-2
6.032;7.519E-2;7.319E-2
6.048;5.291E-2;7.050E-2
6.065;3.026E-2;6.830E-2
6.082;7.586E-3;6.638E-2
6.098;-1.543E-2;6.516E-2
6.115;-3.842E-2;6.446E-2
6.132;-6.152E-2;6.419E-2
6.148;-8.444E-2;6.458E-2
6.165;-0.107;6.529E-2
6.182;-0.130;6.661E-2
6.198;-0.152;6.831E-2
6.215;-0.174;7.068E-2
6.232;-0.195;7.330E-2
6.248;-0.216;7.637E-2
6.265;-0.236;7.973E-2
6.282;-0.255;8.339E-2
6.298;-0.274;8.740E-2
6.315;-0.293;9.170E-2
6.332;-0.310;9.607E-2
6.348;-0.327;0.101
6.365;-0.343;0.105
6.382;-0.358;0.110
6.398;-0.372;0.114
6.415;-0.385;0.119
6.432;-0.398;0.123
6.448;-0.409;0.127
6.465;-0.419;0.131
6.482;-0.428;0.134
6.498;-0.437;0.138
6.515;-0.444;0.141
6.532;-0.451;0.144
6.548;-0.456;0.146
6.565;-0.461;0.148
6.582;-0.464;0.149
6.598;-0.467;0.150
6.615;-0.468;0.151
6.632;-0.469;0.151
6.648;-0.468;0.151
6.665;-0.467;0.150
6.681;-0.464;0.149
6.698;-0.461;0.147
6.715;-0.456;0.145
6.732;-0.451;0.142
6.748;-0.444;0.140
6.765;-0.437;0.136
6.782;-0.428;0.133
6.798;-0.419;0.129
6.815;-0.409;0.125
6.832;-0.397;0.121
6.848;-0.385;0.117
6.865;-0.372;0.112
6.881;-0.358;0.107
6.898;-0.343;0.103
6.915;-0.327;9.806E-2
6.931;-0.310;9.353E-2
6.948;-0.293;8.911E-2
6.965;-0.275;8.497E-2
6.982;-0.256;8.097E-2
6.998;-0.236;7.734E-2
7.015;-0.217;7.386E-2
7.031;-0.196;7.081E-2
7.048;-0.175;6.818E-2
7.065;-0.153;6.588E-2
7.081;-0.131;6.413E-2
7.098;-0.109;6.285E-2
7.115;-8.629E-2;6.202E-2
7.131;-6.353E-2;6.171E-2
7.148;-4.076E-2;6.192E-2
7.165;-1.797E-2;6.270E-2
7.181;4.936E-3;6.389E-2
7.198;2.770E-2;6.583E-2
7.215;5.014E-2;6.810E-2
7.231;7.228E-2;7.096E-2
