;massa_A;
t;x;y
0.000;-0.463;0.158
0.017;-0.463;0.158
0.033;-0.462;0.158
0.050;-0.462;0.158
0.067;-0.462;0.158
0.083;-0.462;0.158
0.100;-0.462;0.158
0.117;-0.462;0.158
0.133;-0.462;0.158
0.150;-0.462;0.157
0.167;-0.460;0.156
0.183;-0.457;0.155
0.200;-0.453;0.153
0.217;-0.448;0.151
0.233;-0.442;0.148
0.250;-0.435;0.144
0.267;-0.427;0.140
0.283;-0.418;0.136
0.300;-0.408;0.131
0.317;-0.397;0.126
0.333;-0.384;0.121
0.350;-0.371;0.116
0.367;-0.356;0.110
0.383;-0.341;0.104
0.400;-0.325;9.827E-2
0.417;-0.308;9.243E-2
0.433;-0.289;8.663E-2
0.450;-0.270;8.099E-2
0.467;-0.250;7.572E-2
0.483;-0.229;7.053E-2
0.500;-0.208;6.569E-2
0.517;-0.186;6.125E-2
0.533;-0.164;5.727E-2
0.550;-0.141;5.372E-2
0.566;-0.118;5.053E-2
0.583;-9.446E-2;4.794E-2
0.600;-7.076E-2;4.571E-2
0.616;-4.699E-2;4.425E-2
0.633;-2.338E-2;4.342E-2
0.650;3.903E-4;4.312E-2
0.666;2.403E-2;4.325E-2
0.683;4.757E-2;4.378E-2
0.700;7.082E-2;4.518E-2
0.716;9.368E-2;4.699E-2
0.733;0.116;4.915E-2
0.750;0.138;5.206E-2
0.766;0.160;5.524E-2
0.783;0.181;5.856E-2
0.800;0.201;6.237E-2
0.816;0.221;6.635E-2
0.833;0.240;7.084E-2
0.850;0.258;7.526E-2
0.866;0.275;7.990E-2
0.883;0.291;8.451E-2
0.900;0.307;8.937E-2
0.916;0.322;9.414E-2
0.933;0.336;9.904E-2
0.950;0.349;0.104
0.966;0.361;0.108
0.983;0.372;0.112
1.000;0.382;0.116
1.016;0.391;0.120
1.033;0.400;0.123
1.050;0.407;0.127
1.066;0.413;0.129
1.083;0.418;0.132
1.100;0.423;0.134
1.116;0.426;0.135
1.133;0.428;0.136
1.150;0.430;0.137
1.166;0.430;0.137
1.183;0.429;0.137
1.200;0.427;0.135
1.216;0.424;0.134
1.233;0.420;0.132
1.250;0.415;0.130
1.266;0.409;0.127
1.283;0.402;0.124
1.300;0.394;0.121
1.316;0.385;0.117
1.333;0.375;0.113
1.350;0.364;0.109
1.366;0.352;0.104
1.383;0.338;9.945E-2
1.400;0.324;9.452E-2
1.416;0.309;8.983E-2
1.433;0.293;8.490E-2
1.450;0.277;7.997E-2
1.466;0.259;7.522E-2
1.483;0.240;7.039E-2
1.500;0.221;6.617E-2
1.516;0.201;6.203E-2
1.533;0.180;5.802E-2
1.549;0.159;5.451E-2
1.566;0.137;5.135E-2
1.583;0.114;4.864E-2
1.600;9.141E-2;4.646E-2
1.616;6.811E-2;4.463E-2
1.633;4.461E-2;4.343E-2
1.650;2.092E-2;4.289E-2
1.666;-2.935E-3;4.280E-2
1.683;-2.670E-2;4.339E-2
1.700;-5.078E-2;4.464E-2
1.716;-7.450E-2;4.619E-2
1.733;-9.802E-2;4.837E-2
1.749;-0.121;5.106E-2
1.766;-0.144;5.404E-2
1.783;-0.167;5.774E-2
1.800;-0.189;6.179E-2
1.816;-0.210;6.614E-2
1.833;-0.231;7.083E-2
1.850;-0.250;7.590E-2
1.866;-0.270;8.108E-2
1.883;-0.288;8.644E-2
1.899;-0.306;9.193E-2
1.916;-0.322;9.745E-2
1.933;-0.338;0.103
1.949;-0.353;0.109
1.966;-0.367;0.114
1.983;-0.380;0.119
2.000;-0.391;0.124
2.016;-0.402;0.129
2.033;-0.412;0.134
2.049;-0.421;0.138
2.066;-0.429;0.141
2.083;-0.436;0.144
2.099;-0.442;0.147
2.116;-0.447;0.150
2.133;-0.450;0.152
2.149;-0.453;0.153
2.166;-0.455;0.154
2.183;-0.455;0.154
2.199;-0.455;0.154
2.216;-0.454;0.153
2.233;-0.451;0.152
2.249;-0.448;0.150
2.266;-0.444;0.148
2.283;-0.439;0.146
2.299;-0.432;0.142
2.316;-0.425;0.139
2.333;-0.417;0.135
2.349;-0.408;0.131
2.366;-0.398;0.126
2.383;-0.386;0.121
2.399;-0.375;0.116
2.416;-0.362;0.111
2.433;-0.348;0.106
2.449;-0.334;0.101
2.466;-0.318;9.518E-2
2.483;-0.302;8.988E-2
2.499;-0.285;8.462E-2
2.516;-0.267;7.933E-2
2.533;-0.248;7.432E-2
2.549;-0.229;6.956E-2
